id_venda,data_venda,cliente,estado,cidade,produto,categoria,quantidade,valor_unitario,valor_total,responsavel
30,2025-10-27,Cliente_275,SP,Belo Horizonte,Mouse,Eletrônicos,8,2347.22,18777.76,Luis Gustavo de Matos dos Santos
31,2025-07-26,Cliente_43,MG,Rio de Janeiro,Mouse,Eletrônicos,3,1717.29,5151.87,Luis Gustavo de Matos dos Santos
32,2026-02-28,Cliente_231,SC,Joinville,Notebook,Eletrônicos,4,3513.31,14053.24,Luis Gustavo de Matos dos Santos
33,2025-08-21,Cliente_237,MG,São Paulo,Monitor,Acessórios,10,1691.32,16913.2,Luis Gustavo de Matos dos Santos
34,2025-05-06,Cliente_127,SC,Rio de Janeiro,Notebook,Eletrônicos,9,359.5,3235.5,Luis Gustavo de Matos dos Santos
35,2025-04-03,Cliente_209,RJ,Joinville,Notebook,Eletrônicos,7,261.85,1832.95,Luis Gustavo de Matos dos Santos
36,2025-05-08,Cliente_177,RJ,Porto Alegre,Notebook,Eletrônicos,5,2110.17,10550.85,Luis Gustavo de Matos dos Santos
37,2026-03-14,Cliente_226,PR,São Paulo,Teclado,Eletrônicos,4,3914.33,15657.32,Luis Gustavo de Matos dos Santos
38,2025-10-19,Cliente_218,SP,Joinville,Notebook,Eletrônicos,5,1601.02,8005.1,Luis Gustavo de Matos dos Santos
39,2025-03-18,Cliente_60,SP,Curitiba,Notebook,Eletrônicos,3,649.83,1949.49,Luis Gustavo de Matos dos Santos
40,2025-04-02,Cliente_72,SP,Curitiba,Headset,Acessórios,2,796.19,1592.38,Luis Gustavo de Matos dos Santos
41,2025-09-30,Cliente_64,MG,Belo Horizonte,Headset,Eletrônicos,3,3891.63,11674.89,Luis Gustavo de Matos dos Santos
42,2026-03-02,Cliente_113,RJ,Joinville,Monitor,Acessórios,8,4029.85,32238.8,Luis Gustavo de Matos dos Santos
43,2025-06-07,Cliente_122,SC,Porto Alegre,Mouse,Eletrônicos,6,4068.55,24411.3,Luis Gustavo de Matos dos Santos
44,2025-06-15,Cliente_288,PR,São Paulo,Headset,Acessórios,2,2759.92,5519.84,Luis Gustavo de Matos dos Santos
45,2025-09-17,Cliente_300,SP,Porto Alegre,Monitor,Eletrônicos,4,4283.23,17132.92,Luis Gustavo de Matos dos Santos
46,2025-10-20,Cliente_90,RS,Joinville,Mouse,Eletrônicos,7,3034.67,21242.69,Luis Gustavo de Matos dos Santos
47,2026-03-17,Cliente_173,SC,São Paulo,Notebook,Acessórios,4,1824.33,7297.32,Luis Gustavo de Matos dos Santos
48,2026-02-23,Cliente_118,SP,Rio de Janeiro,Monitor,Eletrônicos,6,3860.04,23160.24,Luis Gustavo de Matos dos Santos
49,2025-12-22,Cliente_274,SC,Curitiba,Mouse,Eletrônicos,1,1936.2,1936.2,Luis Gustavo de Matos dos Santos
50,2025-05-25,Cliente_1,SP,Rio de Janeiro,Notebook,Acessórios,8,3608.98,28871.84,Luis Gustavo de Matos dos Santos
51,2025-08-09,Cliente_35,PR,São Paulo,Headset,Eletrônicos,9,1586.54,14278.86,Luis Gustavo de Matos dos Santos
52,2025-05-14,Cliente_146,SP,Curitiba,Monitor,Eletrônicos,2,4182.36,8364.72,Luis Gustavo de Matos dos Santos
53,2025-03-31,Cliente_264,SC,Curitiba,Notebook,Acessórios,5,4541.85,22709.25,Luis Gustavo de Matos dos Santos
54,2026-03-13,Cliente_89,PR,Rio de Janeiro,Monitor,Acessórios,8,754.68,6037.44,Luis Gustavo de Matos dos Santos
55,2026-02-14,Cliente_142,PR,Belo Horizonte,Headset,Eletrônicos,10,4735.42,47354.2,Luis Gustavo de Matos dos Santos
56,2025-04-05,Cliente_148,MG,Porto Alegre,Notebook,Acessórios,8,1484.72,11877.76,Luis Gustavo de Matos dos Santos
57,2025-09-27,Cliente_136,PR,Rio de Janeiro,Monitor,Eletrônicos,10,867.01,8670.1,Luis Gustavo de Matos dos Santos
58,2025-06-28,Cliente_21,RJ,Joinville,Notebook,Acessórios,4,4440.06,17760.24,Luis Gustavo de Matos dos Santos
59,2025-03-28,Cliente_76,PR,Joinville,Mouse,Eletrônicos,4,4246.61,16986.44,Luis Gustavo de Matos dos Santos
60,2025-05-16,Cliente_76,RS,São Paulo,Notebook,Acessórios,8,1616.05,12928.4,Luis Gustavo de Matos dos Santos
61,2025-11-23,Cliente_221,RJ,Joinville,Mouse,Eletrônicos,7,1097.45,7682.15,Luis Gustavo de Matos dos Santos
62,2025-03-30,Cliente_242,RS,Curitiba,Monitor,Eletrônicos,9,527.24,4745.16,Luis Gustavo de Matos dos Santos
63,2025-07-15,Cliente_16,SC,Joinville,Headset,Acessórios,9,1299.05,11691.45,Luis Gustavo de Matos dos Santos
64,2025-12-28,Cliente_104,PR,Porto Alegre,Mouse,Eletrônicos,4,451.96,1807.84,Luis Gustavo de Matos dos Santos
65,2025-12-05,Cliente_125,RS,Belo Horizonte,Notebook,Acessórios,2,3655.99,7311.98,Luis Gustavo de Matos dos Santos
66,2026-02-02,Cliente_189,RJ,Joinville,Teclado,Acessórios,10,2735.45,27354.5,Luis Gustavo de Matos dos Santos
67,2025-09-25,Cliente_164,RS,Rio de Janeiro,Mouse,Acessórios,2,3363.73,6727.46,Luis Gustavo de Matos dos Santos
68,2025-04-28,Cliente_80,PR,Joinville,Teclado,Acessórios,2,324.62,649.24,Luis Gustavo de Matos dos Santos
69,2025-08-21,Cliente_224,PR,Belo Horizonte,Teclado,Eletrônicos,7,2186.32,15304.24,Luis Gustavo de Matos dos Santos
70,2025-10-17,Cliente_273,SC,Belo Horizonte,Headset,Acessórios,4,3754.42,15017.68,Luis Gustavo de Matos dos Santos
71,2025-04-28,Cliente_186,SC,São Paulo,Monitor,Eletrônicos,1,1637.26,1637.26,Luis Gustavo de Matos dos Santos
72,2025-09-05,Cliente_56,PR,Joinville,Headset,Eletrônicos,2,4216.07,8432.14,Luis Gustavo de Matos dos Santos
73,2025-04-27,Cliente_200,SP,Rio de Janeiro,Notebook,Eletrônicos,2,4593.44,9186.88,Luis Gustavo de Matos dos Santos
74,2025-08-13,Cliente_5,SC,São Paulo,Monitor,Eletrônicos,3,1514.59,4543.77,Luis Gustavo de Matos dos Santos
75,2026-02-01,Cliente_44,RJ,Rio de Janeiro,Monitor,Eletrônicos,1,272.27,272.27,Luis Gustavo de Matos dos Santos
76,2025-10-04,Cliente_125,RS,Joinville,Mouse,Acessórios,4,322.95,1291.8,Luis Gustavo de Matos dos Santos
77,2025-06-13,Cliente_87,SC,Belo Horizonte,Teclado,Eletrônicos,10,3334.1,33341.0,Luis Gustavo de Matos dos Santos
78,2025-08-13,Cliente_79,MG,São Paulo,Mouse,Eletrônicos,7,585.19,4096.33,Luis Gustavo de Matos dos Santos
79,2025-05-18,Cliente_145,SC,Rio de Janeiro,Teclado,Acessórios,4,4350.01,17400.04,Luis Gustavo de Matos dos Santos
80,2025-12-30,Cliente_23,SC,Belo Horizonte,Notebook,Acessórios,9,2181.35,19632.15,Luis Gustavo de Matos dos Santos
81,2025-07-17,Cliente_112,MG,Porto Alegre,Notebook,Eletrônicos,4,3756.64,15026.56,Luis Gustavo de Matos dos Santos
82,2025-12-09,Cliente_67,MG,Joinville,Mouse,Eletrônicos,8,774.84,6198.72,Luis Gustavo de Matos dos Santos
83,2026-01-29,Cliente_172,SC,Rio de Janeiro,Headset,Acessórios,9,3014.5,27130.5,Luis Gustavo de Matos dos Santos
84,2025-10-27,Cliente_49,SC,Porto Alegre,Mouse,Acessórios,7,2808.43,19659.01,Luis Gustavo de Matos dos Santos
85,2025-07-05,Cliente_72,SC,Belo Horizonte,Notebook,Eletrônicos,10,3365.2,33652.0,Luis Gustavo de Matos dos Santos
86,2025-10-05,Cliente_94,SC,Belo Horizonte,Headset,Eletrônicos,2,4434.35,8868.7,Luis Gustavo de Matos dos Santos
87,2026-01-24,Cliente_236,RJ,Rio de Janeiro,Monitor,Eletrônicos,4,1704.63,6818.52,Luis Gustavo de Matos dos Santos
88,2025-05-27,Cliente_164,SC,Porto Alegre,Notebook,Eletrônicos,2,1222.84,2445.68,Luis Gustavo de Matos dos Santos
89,2025-12-06,Cliente_237,RJ,São Paulo,Notebook,Acessórios,8,1974.19,15793.52,Luis Gustavo de Matos dos Santos
90,2025-04-19,Cliente_209,MG,Curitiba,Notebook,Acessórios,2,1115.63,2231.26,Luis Gustavo de Matos dos Santos
91,2025-06-05,Cliente_73,PR,Rio de Janeiro,Monitor,Eletrônicos,5,72.86,364.3,Luis Gustavo de Matos dos Santos
92,2025-06-29,Cliente_268,SP,Rio de Janeiro,Headset,Eletrônicos,9,2387.09,21483.81,Luis Gustavo de Matos dos Santos
93,2025-05-30,Cliente_277,SC,Belo Horizonte,Teclado,Eletrônicos,1,1637.53,1637.53,Luis Gustavo de Matos dos Santos
94,2025-05-25,Cliente_52,RJ,Belo Horizonte,Notebook,Eletrônicos,3,2913.21,8739.63,Luis Gustavo de Matos dos Santos
95,2026-02-19,Cliente_13,RS,Rio de Janeiro,Mouse,Eletrônicos,9,301.84,2716.56,Luis Gustavo de Matos dos Santos
96,2025-04-04,Cliente_259,SC,São Paulo,Notebook,Acessórios,2,3519.85,7039.7,Luis Gustavo de Matos dos Santos
97,2025-04-26,Cliente_294,PR,Porto Alegre,Mouse,Acessórios,4,1552.62,6210.48,Luis Gustavo de Matos dos Santos
98,2025-04-08,Cliente_104,SP,Belo Horizonte,Monitor,Eletrônicos,4,3356.35,13425.4,Luis Gustavo de Matos dos Santos
99,2025-04-15,Cliente_235,RS,Belo Horizonte,Mouse,Acessórios,9,3714.96,33434.64,Luis Gustavo de Matos dos Santos
100,2025-07-17,Cliente_147,RJ,Curitiba,Headset,Eletrônicos,3,1967.46,5902.38,Luis Gustavo de Matos dos Santos
101,2026-03-16,Cliente_146,MG,Joinville,Notebook,Eletrônicos,3,4338.24,13014.72,Luis Gustavo de Matos dos Santos
102,2025-07-09,Cliente_198,SC,Porto Alegre,Notebook,Eletrônicos,4,3137.9,12551.6,Luis Gustavo de Matos dos Santos
103,2025-08-26,Cliente_215,SC,Joinville,Monitor,Acessórios,7,1406.65,9846.55,Luis Gustavo de Matos dos Santos
104,2026-03-16,Cliente_204,RJ,Porto Alegre,Mouse,Acessórios,9,2285.22,20566.98,Luis Gustavo de Matos dos Santos
105,2026-02-19,Cliente_121,MG,Rio de Janeiro,Notebook,Acessórios,8,2196.08,17568.64,Luis Gustavo de Matos dos Santos
106,2025-07-19,Cliente_125,MG,Belo Horizonte,Teclado,Eletrônicos,7,1413.32,9893.24,Luis Gustavo de Matos dos Santos
107,2026-01-07,Cliente_128,RJ,Joinville,Mouse,Acessórios,5,302.9,1514.5,Luis Gustavo de Matos dos Santos
108,2026-03-15,Cliente_246,RJ,Porto Alegre,Mouse,Acessórios,8,2381.05,19048.4,Luis Gustavo de Matos dos Santos
109,2025-04-01,Cliente_294,RS,Joinville,Notebook,Eletrônicos,5,2726.64,13633.2,Luis Gustavo de Matos dos Santos
110,2025-05-16,Cliente_97,SP,Joinville,Headset,Acessórios,1,3465.1,3465.1,Luis Gustavo de Matos dos Santos
111,2025-10-01,Cliente_224,SP,Curitiba,Teclado,Acessórios,1,3625.1,3625.1,Luis Gustavo de Matos dos Santos
112,2026-03-14,Cliente_269,SC,São Paulo,Monitor,Acessórios,5,2021.29,10106.45,Luis Gustavo de Matos dos Santos
113,2025-05-25,Cliente_195,PR,Joinville,Mouse,Acessórios,10,670.35,6703.5,Luis Gustavo de Matos dos Santos
114,2026-02-24,Cliente_198,RS,Rio de Janeiro,Headset,Acessórios,8,2084.94,16679.52,Luis Gustavo de Matos dos Santos
115,2025-08-10,Cliente_143,SC,Porto Alegre,Notebook,Eletrônicos,8,1225.3,9802.4,Luis Gustavo de Matos dos Santos
116,2025-12-23,Cliente_50,RS,Rio de Janeiro,Teclado,Eletrônicos,10,1930.71,19307.1,Luis Gustavo de Matos dos Santos
117,2025-05-04,Cliente_206,PR,Porto Alegre,Notebook,Eletrônicos,9,3388.0,30492.0,Luis Gustavo de Matos dos Santos
118,2025-09-17,Cliente_297,RS,Joinville,Monitor,Eletrônicos,4,905.32,3621.28,Luis Gustavo de Matos dos Santos
119,2026-02-17,Cliente_71,RS,Rio de Janeiro,Monitor,Acessórios,4,3427.2,13708.8,Luis Gustavo de Matos dos Santos
120,2025-09-07,Cliente_145,PR,Porto Alegre,Teclado,Acessórios,4,780.52,3122.08,Luis Gustavo de Matos dos Santos
121,2025-07-14,Cliente_264,SC,Joinville,Teclado,Acessórios,10,3571.47,35714.7,Luis Gustavo de Matos dos Santos
122,2025-07-08,Cliente_49,SC,Joinville,Monitor,Acessórios,4,2752.08,11008.32,Luis Gustavo de Matos dos Santos
123,2025-12-13,Cliente_188,SC,Curitiba,Headset,Acessórios,8,4454.1,35632.8,Luis Gustavo de Matos dos Santos
124,2025-12-16,Cliente_205,MG,Rio de Janeiro,Mouse,Acessórios,7,3377.09,23639.63,Luis Gustavo de Matos dos Santos
125,2025-07-31,Cliente_68,SC,Joinville,Teclado,Acessórios,7,2744.05,19208.35,Luis Gustavo de Matos dos Santos
126,2025-09-28,Cliente_84,SC,Joinville,Monitor,Eletrônicos,1,4652.83,4652.83,Luis Gustavo de Matos dos Santos
127,2025-04-12,Cliente_48,PR,Rio de Janeiro,Mouse,Eletrônicos,1,3989.16,3989.16,Luis Gustavo de Matos dos Santos
128,2026-02-26,Cliente_3,PR,Rio de Janeiro,Monitor,Acessórios,9,4141.46,37273.14,Luis Gustavo de Matos dos Santos
129,2025-05-17,Cliente_192,RS,Joinville,Notebook,Eletrônicos,8,4049.49,32395.92,Luis Gustavo de Matos dos Santos
130,2025-09-26,Cliente_220,SP,Rio de Janeiro,Headset,Acessórios,4,4684.49,18737.96,Luis Gustavo de Matos dos Santos
131,2025-08-22,Cliente_201,RS,Porto Alegre,Monitor,Eletrônicos,2,1615.45,3230.9,Luis Gustavo de Matos dos Santos
132,2025-05-31,Cliente_86,RS,Belo Horizonte,Headset,Eletrônicos,7,4792.95,33550.65,Luis Gustavo de Matos dos Santos
133,2025-06-24,Cliente_294,SP,Belo Horizonte,Teclado,Eletrônicos,10,4093.88,40938.8,Luis Gustavo de Matos dos Santos
134,2025-05-23,Cliente_14,MG,São Paulo,Monitor,Eletrônicos,2,3491.31,6982.62,Luis Gustavo de Matos dos Santos
135,2025-07-09,Cliente_31,RS,São Paulo,Monitor,Eletrônicos,2,2943.39,5886.78,Luis Gustavo de Matos dos Santos
136,2025-11-11,Cliente_138,RS,Belo Horizonte,Headset,Eletrônicos,5,3674.77,18373.85,Luis Gustavo de Matos dos Santos
137,2025-04-14,Cliente_34,SC,Joinville,Mouse,Eletrônicos,2,1755.44,3510.88,Luis Gustavo de Matos dos Santos
138,2025-08-28,Cliente_40,SP,Porto Alegre,Mouse,Acessórios,6,4226.36,25358.16,Luis Gustavo de Matos dos Santos
139,2025-10-01,Cliente_175,SP,São Paulo,Notebook,Acessórios,9,1583.04,14247.36,Luis Gustavo de Matos dos Santos
140,2026-02-15,Cliente_192,SP,Porto Alegre,Notebook,Eletrônicos,1,3398.31,3398.31,Luis Gustavo de Matos dos Santos
141,2025-04-30,Cliente_203,PR,Porto Alegre,Monitor,Acessórios,2,2596.03,5192.06,Luis Gustavo de Matos dos Santos
142,2025-12-29,Cliente_172,RS,Belo Horizonte,Mouse,Acessórios,10,1369.8,13698.0,Luis Gustavo de Matos dos Santos
143,2025-03-24,Cliente_286,SC,Belo Horizonte,Notebook,Acessórios,10,1492.96,14929.6,Luis Gustavo de Matos dos Santos
144,2025-03-27,Cliente_184,RJ,Joinville,Teclado,Acessórios,3,2197.44,6592.32,Luis Gustavo de Matos dos Santos
145,2025-11-18,Cliente_226,PR,Rio de Janeiro,Mouse,Eletrônicos,9,930.49,8374.41,Luis Gustavo de Matos dos Santos
146,2025-10-20,Cliente_222,RS,São Paulo,Monitor,Eletrônicos,9,4825.14,43426.26,Luis Gustavo de Matos dos Santos
147,2025-11-24,Cliente_215,PR,Joinville,Mouse,Eletrônicos,1,1755.94,1755.94,Luis Gustavo de Matos dos Santos
148,2025-09-28,Cliente_199,PR,Curitiba,Teclado,Eletrônicos,10,2377.8,23778.0,Luis Gustavo de Matos dos Santos
149,2026-02-16,Cliente_8,RS,Joinville,Teclado,Acessórios,8,1334.71,10677.68,Luis Gustavo de Matos dos Santos
150,2025-10-24,Cliente_79,PR,Joinville,Monitor,Acessórios,4,2167.01,8668.04,Luis Gustavo de Matos dos Santos
151,2025-05-20,Cliente_198,SC,Joinville,Notebook,Eletrônicos,10,1562.46,15624.6,Luis Gustavo de Matos dos Santos
152,2025-09-25,Cliente_156,PR,Rio de Janeiro,Teclado,Eletrônicos,8,4899.92,39199.36,Luis Gustavo de Matos dos Santos
153,2026-02-27,Cliente_236,MG,Belo Horizonte,Monitor,Eletrônicos,2,1999.43,3998.86,Luis Gustavo de Matos dos Santos
154,2025-09-18,Cliente_82,MG,Porto Alegre,Notebook,Acessórios,8,4599.58,36796.64,Luis Gustavo de Matos dos Santos
155,2026-03-04,Cliente_275,SC,Curitiba,Notebook,Acessórios,2,3183.86,6367.72,Luis Gustavo de Matos dos Santos
156,2025-07-31,Cliente_210,SP,Joinville,Teclado,Eletrônicos,10,4154.38,41543.8,Luis Gustavo de Matos dos Santos
157,2025-06-23,Cliente_61,RS,São Paulo,Teclado,Acessórios,10,1380.21,13802.1,Luis Gustavo de Matos dos Santos
158,2025-08-24,Cliente_60,MG,Rio de Janeiro,Mouse,Eletrônicos,3,3325.89,9977.67,Luis Gustavo de Matos dos Santos
159,2026-03-09,Cliente_60,MG,Belo Horizonte,Monitor,Acessórios,5,2699.78,13498.9,Luis Gustavo de Matos dos Santos
160,2025-11-10,Cliente_222,RS,Porto Alegre,Monitor,Acessórios,5,528.16,2640.8,Luis Gustavo de Matos dos Santos
161,2025-05-02,Cliente_168,RJ,Joinville,Mouse,Acessórios,6,345.39,2072.34,Luis Gustavo de Matos dos Santos
162,2026-02-08,Cliente_241,RJ,Rio de Janeiro,Headset,Eletrônicos,1,4104.96,4104.96,Luis Gustavo de Matos dos Santos
163,2025-10-17,Cliente_3,RS,Rio de Janeiro,Monitor,Eletrônicos,9,1287.78,11590.02,Luis Gustavo de Matos dos Santos
164,2025-11-27,Cliente_284,RJ,Porto Alegre,Notebook,Eletrônicos,6,3131.1,18786.6,Luis Gustavo de Matos dos Santos
165,2026-01-01,Cliente_224,MG,Curitiba,Headset,Eletrônicos,3,3952.02,11856.06,Luis Gustavo de Matos dos Santos
166,2025-09-16,Cliente_180,PR,São Paulo,Teclado,Acessórios,8,4043.74,32349.92,Luis Gustavo de Matos dos Santos
167,2025-10-15,Cliente_168,SC,Belo Horizonte,Monitor,Eletrônicos,1,4129.85,4129.85,Luis Gustavo de Matos dos Santos
168,2025-06-04,Cliente_145,SP,Porto Alegre,Mouse,Acessórios,1,468.8,468.8,Luis Gustavo de Matos dos Santos
169,2025-07-13,Cliente_237,PR,Curitiba,Notebook,Eletrônicos,5,1721.07,8605.35,Luis Gustavo de Matos dos Santos
170,2025-03-23,Cliente_96,RS,Joinville,Notebook,Eletrônicos,4,207.55,830.2,Luis Gustavo de Matos dos Santos
171,2025-03-29,Cliente_127,MG,Belo Horizonte,Monitor,Eletrônicos,10,3061.8,30618.0,Luis Gustavo de Matos dos Santos
172,2026-01-19,Cliente_146,RS,Porto Alegre,Headset,Eletrônicos,10,1587.35,15873.5,Luis Gustavo de Matos dos Santos
173,2026-02-19,Cliente_296,RJ,São Paulo,Monitor,Acessórios,7,4798.75,33591.25,Luis Gustavo de Matos dos Santos
174,2026-02-07,Cliente_4,MG,Joinville,Teclado,Acessórios,4,3091.66,12366.64,Luis Gustavo de Matos dos Santos
175,2025-10-12,Cliente_85,SC,Joinville,Teclado,Acessórios,10,746.51,7465.1,Luis Gustavo de Matos dos Santos
176,2025-11-23,Cliente_193,RJ,Joinville,Headset,Acessórios,7,1087.24,7610.68,Luis Gustavo de Matos dos Santos
177,2025-04-08,Cliente_68,MG,Rio de Janeiro,Monitor,Eletrônicos,8,3964.47,31715.76,Luis Gustavo de Matos dos Santos
178,2025-12-30,Cliente_32,SP,Joinville,Mouse,Eletrônicos,8,1427.93,11423.44,Luis Gustavo de Matos dos Santos
179,2025-05-10,Cliente_128,SC,Curitiba,Teclado,Acessórios,3,4148.08,12444.24,Luis Gustavo de Matos dos Santos
180,2025-08-23,Cliente_96,RJ,Curitiba,Teclado,Acessórios,10,4907.52,49075.2,Luis Gustavo de Matos dos Santos
181,2026-02-23,Cliente_207,MG,Rio de Janeiro,Notebook,Eletrônicos,8,1181.28,9450.24,Luis Gustavo de Matos dos Santos
182,2025-12-02,Cliente_182,PR,Curitiba,Mouse,Acessórios,8,407.75,3262.0,Luis Gustavo de Matos dos Santos
183,2025-12-21,Cliente_104,SC,Rio de Janeiro,Notebook,Acessórios,5,1152.72,5763.6,Luis Gustavo de Matos dos Santos
184,2025-04-15,Cliente_184,PR,Belo Horizonte,Teclado,Acessórios,10,3517.4,35174.0,Luis Gustavo de Matos dos Santos
185,2025-08-11,Cliente_283,RJ,Rio de Janeiro,Monitor,Acessórios,6,80.67,484.02,Luis Gustavo de Matos dos Santos
186,2025-09-17,Cliente_163,PR,Joinville,Monitor,Eletrônicos,3,281.36,844.08,Luis Gustavo de Matos dos Santos
187,2025-11-26,Cliente_220,RJ,Curitiba,Notebook,Acessórios,1,4610.83,4610.83,Luis Gustavo de Matos dos Santos
188,2025-10-04,Cliente_182,MG,São Paulo,Teclado,Acessórios,5,3172.52,15862.6,Luis Gustavo de Matos dos Santos
189,2025-08-22,Cliente_125,MG,São Paulo,Teclado,Eletrônicos,8,4610.95,36887.6,Luis Gustavo de Matos dos Santos
190,2025-07-21,Cliente_28,RS,São Paulo,Headset,Acessórios,7,1203.78,8426.46,Luis Gustavo de Matos dos Santos
191,2025-10-08,Cliente_89,RJ,Curitiba,Notebook,Acessórios,8,4145.96,33167.68,Luis Gustavo de Matos dos Santos
192,2025-11-12,Cliente_129,MG,Porto Alegre,Mouse,Acessórios,3,3609.15,10827.45,Luis Gustavo de Matos dos Santos
193,2025-07-25,Cliente_223,MG,São Paulo,Teclado,Acessórios,5,3920.83,19604.15,Luis Gustavo de Matos dos Santos
194,2025-03-25,Cliente_233,SC,Curitiba,Headset,Acessórios,8,2720.65,21765.2,Luis Gustavo de Matos dos Santos
195,2025-09-07,Cliente_297,PR,Curitiba,Notebook,Eletrônicos,3,2954.3,8862.9,Luis Gustavo de Matos dos Santos
196,2026-02-10,Cliente_150,RJ,Joinville,Teclado,Eletrônicos,5,2154.81,10774.05,Luis Gustavo de Matos dos Santos
197,2026-02-11,Cliente_24,SC,Rio de Janeiro,Notebook,Acessórios,2,476.7,953.4,Luis Gustavo de Matos dos Santos
198,2025-05-03,Cliente_193,PR,Belo Horizonte,Mouse,Eletrônicos,5,3622.84,18114.2,Luis Gustavo de Matos dos Santos
199,2025-09-13,Cliente_137,SP,Curitiba,Headset,Eletrônicos,1,2171.1,2171.1,Luis Gustavo de Matos dos Santos
200,2026-02-16,Cliente_162,RS,Rio de Janeiro,Notebook,Eletrônicos,3,4363.56,13090.68,Luis Gustavo de Matos dos Santos
201,2025-12-06,Cliente_250,MG,Curitiba,Monitor,Acessórios,2,760.29,1520.58,Luis Gustavo de Matos dos Santos
202,2025-11-20,Cliente_1,PR,Belo Horizonte,Monitor,Acessórios,6,2184.22,13105.32,Luis Gustavo de Matos dos Santos
203,2025-07-17,Cliente_75,MG,Porto Alegre,Headset,Acessórios,9,465.23,4187.07,Luis Gustavo de Matos dos Santos
204,2025-06-04,Cliente_92,PR,São Paulo,Mouse,Eletrônicos,2,4595.21,9190.42,Luis Gustavo de Matos dos Santos
