investimento_marketing,preco_medicamento,mes,demanda
8455,196,5,74
5014,223,4,97
12093,665,10,268
19070,613,10,243
36777,552,8,173
17538,930,3,417
11729,147,12,10
35177,214,10,8
46017,213,9,10
1784,203,3,89
28751,266,4,73
41864,892,6,337
41328,891,9,334
13533,343,10,102
41111,179,2,2
40974,725,2,257
6801,641,2,302
20190,944,5,414
39754,85,6,56
30592,949,3,411
11647,273,3,124
9716,302,2,123
24355,79,11,26
23009,137,6,0
25376,442,1,156
46091,575,9,169
5780,741,11,322
3368,55,10,13
13039,550,4,227
7655,110,2,35
41941,320,12,52
5495,743,6,360
11893,936,5,433
26547,938,3,423
23386,753,3,320
14403,236,5,72
33097,754,4,304
14121,942,5,420
11966,117,2,27
34621,475,11,142
29312,550,1,218
23677,828,5,338
32289,557,11,198
32024,47,1,41
43675,595,3,199
5777,343,8,142
30749,242,11,34
16338,99,8,18
3491,582,9,237
28236,477,1,182
49096,633,4,206
15599,195,6,42
20508,541,7,219
4051,768,5,360
49747,476,7,102
22606,442,11,119
22699,119,10,3
1876,909,8,436
33093,759,10,288
5142,422,6,186
16202,595,11,221
40734,399,4,106
8079,550,1,246
8987,351,11,122
40567,337,5,74
29940,672,10,242
38233,556,10,194
18019,759,10,317
47185,108,4,49
19077,623,5,272
27258,530,4,185
22136,61,9,38
9311,904,3,421
18214,826,3,359
15098,945,10,421
29251,408,7,122
38945,100,2,18
48030,421,9,82
26945,126,8,9
26316,130,12,21
33217,296,6,52
9308,233,9,53
6949,762,11,341
2150,837,3,414
24944,525,4,194
35699,140,7,29
10204,153,1,65
2081,837,1,412
30305,739,1,306
17896,981,12,419
47175,390,8,70
8805,276,6,87
6237,716,3,339
21056,817,10,318
46543,973,7,374
46952,894,6,319
4343,199,5,72
14500,952,3,427
30375,67,4,49
10662,618,11,263
17964,916,11,385
48893,38,1,73
9130,65,9,12
20531,470,5,190
2679,917,2,449
4506,75,12,8
14284,760,11,327
8253,676,9,295
20128,111,12,29
28932,101,7,19
10435,756,8,324
45078,98,3,59
14296,681,7,300
31445,892,11,376
14245,302,1,109
30124,330,6,89
30899,179,10,2
44919,335,6,39
44225,896,11,322
36247,998,10,392
30222,687,12,247
27211,175,6,17
38220,907,3,369
27646,733,6,295
39649,487,3,172
24049,940,10,402
15069,872,9,379
33580,481,7,132
32843,873,4,373
3849,136,3,56
41158,685,6,247
24289,383,9,109
45690,862,3,330
36257,650,8,235
10823,730,6,314
42975,932,4,378
10540,485,5,211
17364,794,3,364
5611,203,2,74
28663,979,9,406
39646,679,3,258
31977,185,6,6
30168,94,5,44
26471,767,10,323
23687,845,11,336
1851,291,8,100
19071,710,5,286
7833,522,11,215
12938,814,8,356
36195,582,11,184
27144,606,5,236
5000,675,11,285
6052,362,10,155
36506,719,6,263
29074,654,5,255
39155,863,2,337
41770,270,10,10
33320,827,10,316
39304,854,6,337
47247,149,7,51
4913,783,3,385
18450,377,3,153
25107,963,12,396
21764,711,7,296
44404,427,11,94
21491,880,10,370
39494,514,4,166
4373,641,2,291
13161,501,9,209
32996,869,9,346
28122,97,6,34
35850,997,2,420
28350,533,3,211
28472,340,5,99
29761,807,11,326
26351,309,11,58
24132,316,5,94
16305,700,9,268
10817,771,10,345
12261,990,3,468
1417,494,2,236
42576,42,10,107
21358,825,8,351
4267,191,7,73
18209,854,12,354
25052,337,9,98
39513,927,3,371
27092,817,6,336
12338,874,5,390
1412,212,5,79
8543,700,10,299
41355,935,8,349
34496,137,1,0
24548,25,1,25
28384,862,3,376
45425,502,11,128
39756,151,2,14
19888,112,2,4
36735,782,2,318
48295,541,4,153
49816,582,1,212
18506,880,10,378
21463,313,9,82
18955,660,5,268
38841,411,5,105
6104,268,9,85
35911,633,5,228
24190,868,11,354
8357,614,8,285
33479,722,11,263
45811,436,1,135
37208,162,1,3
21150,256,4,87
6644,306,8,117
44286,296,3,62
48320,406,1,103
3914,401,11,161
22352,469,12,171
47352,310,9,30
45912,188,9,22
15397,462,9,173
42555,675,9,230
47959,203,2,7
1728,64,11,12
1698,774,11,340
40954,846,11,298
48280,965,4,388
14923,287,2,94
17779,495,7,185
8400,272,11,74
25466,415,3,135
37939,308,9,48
5360,231,7,92
36270,708,8,265
18101,40,9,36
33307,335,8,79
6486,583,7,267
9335,457,9,200
22364,442,11,160
38259,252,1,47
24576,964,11,403
32667,142,4,11
12130,893,4,412
22972,979,5,417
41419,631,8,215
2167,233,10,79
28192,941,1,406
2062,858,6,406
19540,666,9,257
25244,987,10,408
22545,849,8,347
22689,749,2,330
12174,619,7,266
23925,811,5,365
38497,59,2,53
10348,771,11,346
24714,351,1,100
39102,962,2,394
9924,667,11,285
38098,201,10,13
25394,284,6,87
7801,790,11,351
38614,713,12,247
7731,552,8,230
49136,882,3,344
24625,451,5,168
18337,962,11,410
36307,215,2,23
8056,743,12,317
12516,528,8,224
45261,466,4,129
2542,547,11,242
22677,221,10,45
47732,894,12,311
40081,749,6,271
28569,624,3,246
24322,152,11,11
20065,158,8,7
18924,688,8,307
23556,512,3,196
27962,866,12,326
29295,89,9,38
14807,835,10,343
43348,34,5,88
27432,766,10,297
18749,231,9,48
42459,821,7,320
27256,79,10,62
41262,271,3,49
38080,465,6,150
2324,21,10,19
26731,767,2,324
36909,355,6,74
24803,38,12,66
20870,580,5,236
35578,97,3,29
7588,491,7,223
39069,47,11,82
27790,579,4,228
26289,627,11,225
29178,184,6,33
29710,477,9,156
16485,964,12,400
45482,896,6,335
21652,195,4,33
5748,604,10,264
22233,887,2,376
10435,48,9,32
4709,975,4,465
31355,688,4,263
14116,845,2,401
26470,835,5,362
43344,298,6,36
43918,302,10,22
40298,498,6,160
43956,538,3,164
15683,324,12,89
1504,713,9,334
34982,128,7,17
35299,343,3,99
29016,225,4,47
24960,253,7,60
34591,957,11,392
18312,477,8,183
38797,206,6,4
47196,959,4,366
3105,501,12,214
37395,941,2,375
46740,426,10,89
23700,860,8,333
35620,528,1,197
38678,888,9,336
21559,539,8,203
28509,72,3,23
28860,417,10,112
12003,218,4,65
22732,410,10,132
26826,668,4,265
31354,790,2,324
14843,865,12,369
45472,932,11,350
49529,517,10,129
7190,191,5,68
18640,105,12,10
39413,577,3,194
43356,877,12,315
45597,205,11,20
41821,175,1,16
4330,512,2,238
20087,929,11,406
42430,540,12,148
25504,646,7,242
8114,685,1,307
14323,149,12,9
35121,862,2,337
11975,100,10,11
12023,403,7,152
22447,821,1,351
25933,678,7,253
24959,314,8,75
1667,997,11,464
30703,288,2,82
10337,664,4,312
47427,581,7,173
37487,554,1,187
20129,397,6,150
41251,395,5,111
32921,107,11,63
34307,944,6,388
28355,643,8,258
38732,130,11,31
5835,603,11,252
21159,173,1,46
39810,482,3,148
48605,588,11,166
41080,788,9,283
39088,175,12,44
14216,644,8,271
36547,337,4,72
32471,578,11,190
18308,257,10,73
28532,353,9,73
35349,125,7,50
46445,501,2,153
6713,718,1,341
5804,690,1,318
11136,729,3,335
1009,401,10,159
20255,708,2,316
24793,280,4,60
30548,818,8,320
38892,312,5,56
2015,354,5,144
28712,674,6,253
35961,839,12,312
9415,728,5,313
47318,495,5,130
48280,244,7,6
24833,926,6,410
5158,574,10,247
21309,473,11,166
7970,682,2,319
7938,315,1,145
22168,594,1,246
47540,661,4,228
21384,786,2,330
19017,482,6,179
11344,874,12,383
41034,233,12,2
9702,604,9,251
1384,962,10,463
1404,635,11,277
41943,177,10,8
48926,291,8,8
30189,846,4,354
13763,257,12,54
19384,322,2,128
33606,903,1,376
10860,689,7,314
39757,640,10,213
16106,540,3,219
24574,340,6,97
24524,78,5,31
4636,377,5,168
11916,723,12,312
5809,667,2,308
33201,270,9,51
14456,910,11,399
49212,455,4,103
39765,165,10,33
35816,878,1,378
46106,997,2,400
18100,371,9,124
22949,589,7,231
5544,708,10,316
38744,819,2,313
46543,264,7,2
43783,579,4,190
27657,320,10,73
37187,457,2,162
48198,887,12,294
8239,119,4,38
15489,744,5,330
44125,833,4,308
29538,499,3,179
33049,434,6,127
38131,184,1,6
43944,931,8,354
9427,961,12,417
42348,657,5,246
25285,321,8,70
38626,993,10,391
43808,140,4,38
23928,107,4,11
20198,236,5,83
20758,592,5,237
16254,833,11,372
45238,198,6,14
2252,721,5,339
40764,182,5,7
13173,612,8,254
38441,189,6,4
27698,320,2,100
16781,393,4,177
14051,727,4,336
40649,222,5,23
7949,66,6,10
43289,482,11,127
9017,689,5,318
7941,427,11,162
26934,213,6,62
24386,446,8,130
11209,949,4,446
18715,810,11,338
29920,336,3,93
32703,498,9,139
43318,440,3,130
5637,288,11,93
5854,500,8,221
44088,730,10,237
38660,755,12,257
40811,282,5,55
20856,445,9,148
22833,185,3,52
20963,711,10,291
37932,447,10,131
28169,723,8,281
8941,416,7,159
15388,235,12,63
6569,815,7,369
5300,883,11,400
40037,126,10,37
37586,997,9,401
13015,117,12,9
46002,899,8,324
7254,501,3,224
18144,518,6,205
25214,249,11,41
41118,276,6,45
16183,62,5,17
7238,261,3,122
7090,573,9,247
12637,114,7,6
23415,965,4,428
25071,785,6,313
46415,207,5,11
43679,404,1,97
42240,838,2,360
19271,419,1,166
37034,525,9,156
34434,186,9,11
5188,802,5,364
11161,144,8,19
29732,692,10,254
12314,106,4,26
24954,840,1,386
22508,508,4,184
22969,245,7,62
46659,676,11,215
38545,364,2,90
37668,779,2,308
24061,893,6,392
14716,537,9,229
40749,50,3,62
40144,728,7,262
17907,763,10,308
19777,315,9,92
28693,433,11,126
43928,856,9,326
27329,991,11,397
47892,154,4,61
17282,544,2,218
24624,23,1,53
24321,197,6,28
11488,765,5,355
23574,278,6,82
6240,671,7,295
44221,84,9,82
11478,814,10,363
46162,382,10,64
20262,837,11,344
5432,736,6,334
30721,36,6,65
14568,219,3,67
15178,563,8,247
23195,231,9,24
1302,454,1,207
18022,292,6,92
1055,309,7,143
46781,822,11,279
9717,502,8,222
29699,253,12,14
9150,427,10,167
3125,713,11,323
45247,165,8,38
49513,581,7,175
17748,449,8,168
40577,451,11,119
5621,634,9,273
16034,564,10,217
47391,516,7,132
6126,108,3,49
6122,430,9,188
19030,916,1,422
18302,872,8,364
20181,846,6,379
39638,260,11,26
2531,797,3,370
41940,242,9,5
41441,767,6,272
24333,684,7,273
40650,487,11,112
35674,588,2,231
36854,341,1,96
47271,394,1,102
9152,131,3,41
39518,546,11,174
46540,431,3,108
11267,288,8,110
26289,645,7,262
2062,271,10,127
30926,393,8,118
7229,673,1,318
48915,645,4,210
5632,469,8,201
40056,821,10,307
4596,888,2,433
45243,556,7,173
7168,387,8,135
43563,841,9,319
8561,274,7,107
9258,482,12,186
17616,287,9,92
27734,145,2,11
7371,412,11,175
27069,781,1,332
15369,818,1,380
13910,353,11,123
8943,584,12,241
13199,387,4,161
16728,574,1,255
24275,697,7,271
7738,573,8,229
16913,911,3,440
36240,475,1,164
20123,707,3,317
49447,86,2,58
35529,85,6,51
11167,931,11,386
11554,614,7,266
18260,881,9,376
48045,636,5,216
4812,419,4,198
29024,306,1,102
28285,905,11,370
27900,205,6,33
2605,303,11,99
6622,535,8,234
7767,669,4,301
28139,710,1,293
12613,256,5,78
11589,37,10,16
14918,834,5,369
21119,947,2,423
28446,433,6,143
14046,951,10,407
25818,28,9,63
36358,439,6,120
5324,48,8,12
11787,675,10,281
10111,367,3,151
39110,680,10,234
17389,595,2,241
42427,898,4,341
15043,469,12,169
29746,399,9,111
23350,718,9,280
42605,385,3,90
1117,246,12,69
47685,137,1,39
19935,431,1,174
48077,970,4,385
14234,375,4,137
39328,273,11,22
1846,562,12,251
11954,692,10,284
14703,746,6,310
49153,463,5,118
47514,700,6,221
23700,100,10,35
33043,65,7,43
7469,68,7,6
31105,468,10,160
43101,829,10,295
27386,426,9,141
46587,899,6,336
37976,302,8,44
40051,492,2,166
3048,435,8,170
40001,998,9,401
13941,619,4,291
46375,140,5,37
43533,22,5,105
2828,335,2,156
2917,479,5,225
21618,246,9,69
33254,98,4,24
40756,676,10,238
48362,773,3,278
21128,563,7,215
46745,794,8,289
1009,742,10,342
17644,90,6,23
23422,915,6,397
10865,216,5,76
3219,77,11,3
40809,443,6,136
6287,488,9,195
35387,643,2,249
9512,67,10,4
2342,454,11,184
44336,204,3,9
20216,898,1,414
28534,858,4,359
15231,184,2,45
33293,746,6,293
27614,350,1,126
37258,349,8,98
29253,140,10,4
43078,232,6,17
41752,842,9,324
18988,526,12,196
32037,572,6,185
13219,884,10,373
1235,935,7,452
43929,820,5,306
2908,187,8,74
9567,565,8,224
37298,849,10,319
6256,806,9,353
20019,446,12,155
9162,728,6,312
6415,722,1,350
37159,240,9,36
44925,29,3,83
6951,139,9,35
22852,654,7,250
9007,266,12,85
42832,379,3,89
31523,928,9,381
24325,240,7,59
22204,792,7,331
16524,525,7,203
20282,77,2,8
24930,846,11,331
1077,479,4,216
41345,147,10,36
21611,718,8,294
17984,736,12,323
15060,105,2,2
18449,123,4,16
19520,162,10,1
44303,224,8,5
10510,660,12,273
30287,777,3,314
29173,57,12,61
40711,382,6,107
12954,640,12,259
8804,328,2,155
7565,71,8,5
6984,20,8,22
22526,30,12,67
38438,845,1,349
19574,766,3,347
10184,659,2,301
20096,955,7,410
3192,233,7,103
35016,975,4,405
12246,774,12,319
46558,575,12,157
19381,537,8,218
37455,687,3,257
27727,434,9,135
5018,27,5,13
12302,24,2,19
2970,381,9,178
42157,713,1,271
28202,131,11,33
32110,292,8,43
18586,441,6,155
25519,284,12,55
32273,477,1,164
22951,231,4,52
16374,97,3,9
6788,801,7,354
6408,685,7,315
26053,240,6,51
10446,388,10,134
1922,977,10,464
34187,366,12,92
11789,44,8,16
33184,995,7,406
2120,439,4,181
45028,373,7,63
33154,739,1,292
18334,436,3,157
3336,534,2,251
39141,234,7,24
3243,926,9,430
20029,131,5,13
33265,973,9,403
38380,723,12,251
47714,933,8,363
44872,578,1,199
47197,447,11,97
24710,752,2,322
30486,718,6,263
7371,581,5,259
7359,728,11,299
41631,235,7,27
36996,432,9,106
21103,752,4,320
15382,399,8,146
19755,621,4,272
36659,251,3,40
4756,854,12,359
21609,277,2,85
49538,684,8,219
17478,275,11,68
36442,422,8,108
40666,443,11,92
11147,789,12,340
34561,998,3,419
35884,84,1,33
6779,209,6,77
13298,622,5,267
15153,969,8,415
44879,192,6,5
11789,778,4,350
45165,787,10,269
13999,647,10,266
1814,580,12,246
11541,246,12,60
25938,600,11,224
3443,953,2,464
11457,407,8,157
11380,420,5,183
8783,657,12,274
45241,968,8,370
18368,232,5,44
16328,72,6,6
27215,643,10,227
34595,690,5,256
28306,771,11,286
20915,681,3,298
40915,158,10,14
38219,437,8,119
16343,644,3,273
47403,162,4,23
39727,901,6,355
1126,528,2,236
28632,669,7,264
42563,505,5,143
45409,456,12,111
21530,835,10,333
40964,562,5,185
45327,312,5,45
4368,639,2,311
4797,303,11,108
48882,690,12,210
14718,857,10,383
35560,33,9,77
12053,653,3,291
23116,746,12,298
37244,291,7,48
37185,44,5,66
2645,954,10,436
48523,341,10,45
20256,825,5,333
36840,700,4,284
35622,122,10,32
38430,885,6,341
40282,902,7,348
3708,59,7,3
12694,254,11,101
10524,851,12,370
32880,108,8,36
40224,119,5,42
37980,163,7,19
33409,101,12,52
14224,608,4,265
41738,590,9,197
26150,248,5,53
35393,622,3,232
44082,885,5,344
8973,414,9,162
9577,532,11,217
9070,800,8,372
9666,817,1,380
37368,216,5,0
7783,293,6,110
46994,609,10,178
42914,672,11,202
5971,819,2,373
14490,602,6,256
46719,987,9,380
46080,581,4,182
2990,986,3,476
6299,391,9,146
46765,900,2,350
20956,99,12,29
23359,254,9,63
47240,306,11,15
38148,838,10,319
29734,686,11,262
5757,591,11,278
20097,564,2,237
11395,456,11,179
17241,146,10,11
39356,752,3,293
28696,731,7,291
5944,436,2,208
47163,657,1,239
20816,60,9,29
38011,806,6,311
25917,488,9,177
32195,316,12,45
22566,616,3,254
10916,620,3,295
21806,61,10,45
10984,651,12,277
2759,298,3,124
42949,478,2,153
27838,52,11,77
3482,295,6,113
25442,684,3,246
34719,109,5,31
28965,635,11,220
3079,967,5,462
3717,543,10,233
28952,179,3,10
21908,948,3,413
43460,477,1,150
25861,727,6,281
8311,418,3,173
29071,838,1,342
24570,793,10,305
19449,110,9,7
34536,728,11,267
39258,600,1,223
49302,485,5,121
29865,239,5,31
7645,438,2,187
39000,398,1,132
27737,745,6,306
12485,949,7,422
39565,466,11,109
26522,983,11,402
13342,165,9,14
41806,252,8,37
49770,390,10,68
14087,941,3,419
38641,253,9,19
35249,745,1,307
11093,386,6,145
48190,500,10,122
17438,592,2,260
41411,382,10,94
27399,609,9,216
20846,530,9,207
16708,114,8,22
45039,861,11,325
46368,235,7,3
11998,744,6,322
48063,835,2,326
31678,731,4,297
11682,883,10,380
9519,562,7,250
32480,821,6,308
20694,874,9,368
4300,154,5,58
7722,102,12,17
40986,410,12,98
25160,66,6,53
21059,411,10,143
36822,737,6,264
14575,404,8,130
8970,400,8,159
35911,96,6,41
22591,278,8,73
32821,968,7,405
10503,623,1,287
48917,953,5,355
19922,966,11,404
13175,418,10,148
42124,119,10,47
22389,520,10,196
48838,402,5,71
1822,726,10,343
18327,211,9,43
48057,599,7,175
7150,920,7,409
5425,773,10,345
17032,621,2,268
3198,364,8,156
21079,29,3,54
37220,283,9,26
42874,287,6,50
14859,851,9,362
32419,649,9,234
9705,781,7,347
43880,590,10,185
24236,214,12,42
23419,581,8,231
20978,426,2,171
38609,315,5,70
16358,909,3,436
35177,116,1,18
30378,481,6,176
38334,658,12,217
12382,777,9,349
15596,106,2,34
34572,96,9,48
14221,908,8,404
2279,735,11,329
46960,502,9,114
8083,165,5,44
44861,680,2,225
18771,130,10,1
30975,660,10,245
46648,784,6,276
49285,697,7,210
20063,316,3,120
3106,445,6,184
25557,668,6,260
49854,810,8,286
21607,353,1,115
38599,542,4,194
29529,602,1,232
36954,690,8,249
28856,747,2,299
3573,557,8,244
13808,817,3,361
36367,181,8,7
37801,449,6,135
42196,633,1,230
35072,88,7,49
24752,152,7,2
18685,208,6,42
42401,742,1,283
12372,774,5,340
9996,697,1,303
17458,943,1,441
32889,941,6,377
27665,592,8,223
39243,893,1,374
32653,298,2,63
27657,449,5,163
40952,644,8,216
23180,561,11,209
32896,854,4,325
13875,180,5,48
2622,765,10,358
49756,918,5,353
41809,472,3,122
17725,908,6,403
41760,870,5,337
16646,189,2,40
18029,849,10,346
30402,717,4,294
5263,76,11,2
31987,259,4,59
47828,788,7,281
48924,377,7,61
9646,220,9,65
28529,463,10,148
12664,856,12,367
36737,846,2,349
36796,321,6,53
25027,125,2,13
30373,821,9,322
37397,120,2,27
21609,116,6,10
36835,684,8,248
39709,957,6,370
20250,48,12,74
22172,525,3,191
12555,684,5,327
22874,457,4,172
14081,398,1,174
25063,92,5,25
7819,273,10,80
26712,982,12,413
25762,930,5,390
12046,535,7,223
32463,768,12,286
29769,569,7,199
24150,39,2,33
3711,644,4,291
5853,554,1,266
30077,440,5,132
24863,465,5,168
22792,898,4,415
41483,155,10,27
9942,524,12,207
49275,952,12,338
49594,779,7,270
2762,320,6,143
32987,628,10,200
16850,52,3,31
13112,666,2,313
25058,786,4,339
46420,297,9,25
39890,152,10,32
1481,769,5,394
48304,546,1,181
33921,808,11,296
41385,145,3,20
2524,364,9,159
35888,36,7,69
16048,843,3,383
36111,581,1,190
38904,666,4,243
35008,649,9,235
1060,397,12,142
10130,837,7,371
19023,79,5,5
46080,656,11,203
14350,486,6,198
25354,647,1,264
46186,410,7,104
29145,955,12,395
35020,704,5,270
21587,206,7,48
42131,517,5,149
10650,619,5,283
20933,734,3,292
21581,380,5,133
24393,842,8,347
24051,851,8,350
27212,468,2,174
5090,713,11,302
7960,883,1,421
36772,699,2,275
22520,200,11,36
37408,831,7,316
29470,978,3,412
21491,149,8,20
2341,994,4,484
45623,168,10,47
25791,491,10,172
1338,837,8,400
6895,740,2,352
13254,642,5,266
12344,967,6,432
2750,519,1,238
3421,668,1,334
40887,374,9,85
6319,935,5,442
16896,230,4,72
12918,677,1,317
26064,615,3,242
47617,49,4,66
28935,596,11,206
38641,43,11,105
30711,962,5,404
5806,742,10,338
42360,241,12,13
13182,621,5,266
23297,637,10,225
20541,703,8,284
29921,761,3,315
17774,944,7,423
45813,608,6,209
38198,599,10,190
9820,896,11,411
25070,420,10,121
5232,884,10,395
12122,920,11,405
16023,623,6,255
9007,531,10,216
18905,107,9,18
42786,484,7,126
30398,69,11,57
35268,122,7,18
7737,387,11,122
37062,955,1,403
26510,511,1,204
20426,577,9,216
38265,710,9,253
18850,798,12,338
1614,287,11,119
22776,416,10,141
25077,339,3,107
10374,539,11,223
36435,468,11,119
31907,796,8,312
14409,495,9,192
17514,917,1,420
30866,609,12,217
3983,928,3,434
32705,259,6,43
21662,277,4,85
24510,727,8,296
13651,991,9,447
41998,963,7,388
29535,861,11,352
7640,662,1,326
45547,983,2,384
16317,409,1,177
8564,362,9,148
28345,792,4,314
49288,773,10,257
29687,406,8,131
